name,ring,quadrant,isNew,description
Python,Adopt,Languages & Frameworks,FALSE,"Cross-platform open source programming language that is useful for scripting, data science and serverless applications."
Spark,Adopt,Languages & Frameworks,FALSE,"Apache Spark is a unified analytics engine for big data processing, with built-in modules for streaming, SQL, machine learning and graph processing."
C#,Adopt,Languages & Frameworks,FALSE,"C# is a general-purpose, multi-paradigm programming language encompassing static typing, strong typing, lexically scoped, imperative, declarative, functional, generic, object-oriented, and component-oriented programming disciplines."
Scala 3,Adopt,Languages & Frameworks,FALSE,"JVM language that combines both Object-Oriented Programming and Functional Programming, especially used in big data projects."
OpenAPI v3 (Swagger),Adopt,Languages & Frameworks,FALSE,"The OpenAPI Specification (OAS) defines a standard, language-agnostic interface to RESTful APIs which allows both humans and computers to discover and understand the capabilities of the service without access to source code, documentation, or through network traffic inspection. When properly defined, a consumer can understand and interact with the remote service with a minimal amount of implementation logic. It is preferred over other specifications such as RAML due to superior support in tooling and platforms."
React,Adopt,Languages & Frameworks,FALSE,"React is a declarative, efficient, and flexible JavaScript library for building user interfaces. It lets you compose complex UIs from small and isolated pieces of code called “components”. It's one of the most popular JS frameworks around and widely used within GBG."
Webpack,Adopt,Languages & Frameworks,FALSE,Build tool that combines JavaScript modules into a static bundle.
gRPC,Adopt,Languages & Frameworks,TRUE,"gRPC is a modern open source high performance Remote Procedure Call (RPC) framework that can run in any environment. It can efficiently connect services in and across data centers with pluggable support for load balancing, tracing, health checking and authentication. Currently mainly targeted for internal APIs, with support in service meshes, next generation load balancers etc growing."
Kotlin,Adopt,Languages & Frameworks,FALSE,"Cross-platform, statically typed, general-purpose programming language. Preferred language for Android devekopment within GBG."
Swift,Adopt,Languages & Frameworks,FALSE,"Swift is a general-purpose, multi-paradigm, compiled programming language developed by Apple. Preferred language for iOS development within GBG."
Specflow,Adopt,Languages & Frameworks,FALSE,"Open source framework for Behaviour Driven Development, Acceptance Test Driven Development and Specification by Example."
Angular,Adopt,Languages & Frameworks,FALSE,Angular is a platform and framework for building single-page client applications using HTML and TypeScript.
PyTorch,Adopt,Languages & Frameworks,FALSE,"Open source machine learning library based on the Torch library, used for applications such as computer vision and natural language processing."
TensorFlow,Adopt,Languages & Frameworks,FALSE,Open-source Machine Learning library.
.NET Core,Adopt,Languages & Frameworks,FALSE,Cross-platform successor to .NET Framework
FlameGraph,Adopt,Languages & Frameworks,FALSE,"Visualisation of profiled software, allowing the most frequent code-paths to be identified quickly and accurately."
GBG Design System,Adopt,Languages & Frameworks,TRUE,GBG's own design system and component library: http://ds.gbgplc.com/
GitHub Enterprise,Adopt,Platforms,TRUE,GitHub's enterprise web-based Git repository hosting service and standard repository for all GBG Technology teams.
Azure DevOps,Adopt,Platforms,FALSE,Microsoft DevOps suite that provides CI/CD workflow capabilities.
Kubernetes,Adopt,Platforms,TRUE,"Kubernetes is a portable, extensible, open-source platform for managing containerized workloads and services, that facilitates both declarative configuration and automation."
Docker,Adopt,Platforms,FALSE,Well known platform that use OS-level virtualization to deliver software in containers.
New Relic,Adopt,Platforms,FALSE,"New Relic is an observability platform that is used for APM, log monitoring and alerting."
AWS,Adopt,Platforms,FALSE,"Amazon Web Service is the worlds largest cloud computing platform, known for low-cost, extensive global reach and a very extensive service catalogue. It hosts many of GBG's products and services."
Azure,Adopt,Platforms,TRUE,"Microsoft Azure is the cloud platform of choice for enterprise workloads that benefit from the extensive tooling for monitoring, security and governance available through Microsoft enterprise experience."
Ping Identity,Adopt,Platforms,TRUE,Ping Identity provides federated identity management and self-hosted identity access management (IAM) solutions to web identities and single sign-on solutions. It is the chosen IAM provider for GBG solutions.
Zero-Trust Architecture,Adopt,Techniques,TRUE,"Zero trust security is an IT security model that requires strict identity verification for every person and device trying to access resources on a private network, regardless of whether they are sitting within or outside of the network perimeter."
Infrastructure-as-code,Adopt,Techniques,FALSE,"Infrastructure as code is the process of managing and provisioning computer data centers through machine-readable definition files, rather than physical hardware configuration or interactive configuration tools."
Microservices,Adopt,Techniques,FALSE,"Approach to developing a single application as a suite of small services, each running in its own process and communicating with lightweight mechanisms, often an HTTP resource API. These services are built around business capabilities and independently deployable by fully automated deployment machinery."
SPA,Adopt,Techniques,TRUE,"A single-page application (SPA) is a web application or website that interacts with the user by dynamically rewriting the current web page with new data from the web server, instead of the default method of a web browser loading entire new pages. It goes well with the microservices architecture that exposes APIs as their main interface. This technique is further evolved with Micro Frontends also in this radar."
Pipelines for infrastructure,Adopt,Techniques,TRUE,"The use of pipelines for infrastructure as code lets you find errors before changes are applied to operational environments — including environments used for development and testing. They also offer a way to ensure that infrastructure tooling is run consistently, using CI/CD agents rather than individual workstations."
TDD,Adopt,Techniques,TRUE,"Test-driven development (TDD) is a software development process relying on software requirements being converted to test cases before software is fully developed, and tracking all software development by repeatedly testing the software against all test cases."
Continuous Delivery,Adopt,Techniques,TRUE,"Continuous Delivery is a software development discipline where you build software in such a way that the software can be released to production at any time.
 
 You’re doing continuous delivery when: 
 
 Your software is deployable throughout its lifecycle
 Your team prioritizes keeping the software deployable over working on new features
 Anybody can get fast, automated feedback on the production readiness of their systems any time somebody makes a change to them
 You can perform push-button deployments of any version of the software to any environment on demand"
Event-driven architecture,Adopt,Techniques,TRUE,"Event-driven architecture (EDA) is a software architecture paradigm promoting the production, detection, consumption of, and reaction to events. An event can be defined as ""a significant change in state"". For example, when a consumer purchases a car, the car's state changes from ""for sale"" to ""sold""."
Feature toggles/flags,Adopt,Techniques,TRUE,"A feature toggle is a software development process used to enable or disable functionality remotely without deploying code. New features can be deployed without making them visible to users. Feature flags help decouple deployment from release letting you manage the full lifecycle of a feature.
 Their purpose is to use known information to control how code works. For example, if new features are made available to internal users for testing and feedback, a feature flag can control this access. Any employee logged into the application with a corporate email address will see the feature; other users do not.
 Feature flags eliminate the need to maintain multiple feature branches within your source code. All code changes can be made to the primary branch, only when the feature is ready will it be enabled via the flag.
 To prevent complex capability matrices from spawning, toggles should be removed as soon as a feature has been adopted. Differential usage for the user population should be managed using permissions long-term."
Role-Based Access Control,Adopt,Techniques,TRUE,"Role-based access control (RBAC) is a policy-neutral access-control mechanism defined around roles and privileges. The components of RBAC such as role-permissions, user-role and role-role relationships make it simple to perform user assignments."
Figma,Adopt,Tools,FALSE,"Go-to tool for collaborative design, not only for designers but for multidisciplinary teams too; it allows developers and other roles to view and comment on designs through the browser without the desktop version. Compared to its competitors (e.g., Invision or Sketch) which have you use more than one tool for versioning, collaborating and design sharing, Figma puts together all of these features in one tool that makes it easier for our teams to discover new ideas together. Our teams find Figma very useful, especially in remote and distributed design work enablement and facilitation. In addition to its real-time design and collaboration capabilities, Figma also offers an API that helps to improve the DesignOps process."
Terraform,Adopt,Tools,FALSE,"Terraform, is rapidly becoming the industry de facto choice for creating and managing cloud infrastructures by writing declarative definitions. Already used across many teams in GBG and championed by the Cloud Infrastructure team it is our current infrastructure-as-code tool of choice."
Neo4j,Adopt,Tools,FALSE,"Neo4j is an open-source, NoSQL, ACID-compliant native graph database."
Apache Solr,Adopt,Tools,FALSE,"Apache Solr (Searching On Lucene w/ Replication) is a free, open-source search engine based on the Apache Lucene library."
Jupyter Notebook,Adopt,Tools,TRUE,"The Jupyter Notebook is an open-source web application that allows you to create and share documents that contain live code, equations, visualizations and narrative text. Uses include: data cleaning and transformation, numerical simulation, statistical modelling, data visualization, machine learning."
Redis,Adopt,Tools,FALSE,"Redis is an open source (BSD licensed), in-memory data structure store, used as a database, cache, and message broker. Redis provides data structures such as strings, hashes, lists, sets, sorted sets with range queries, bitmaps, hyperloglogs, geospatial indexes, and streams. Redis has built-in replication, Lua scripting, LRU eviction, transactions, and different levels of on-disk persistence, and provides high availability via Redis Sentinel and automatic partitioning with Redis Cluster."
SonarQube,Adopt,Tools,FALSE,"SonarQube is an open-source platform developed by SonarSource for continuous inspection of code quality to perform automatic reviews with static analysis of code to detect bugs, code smells, and security vulnerabilities on 20+ programming languages."
Rest Assured,Adopt,Tools,FALSE,Rest Assured is a group of java libraries which enables automated REST API testing.
SoapUI,Adopt,Tools,FALSE,SoapUI is an open-source web service testing application for SOAP and REST APIs that alllows test suite creation and integration into CI/CD pipelines.
Selenium,Adopt,Tools,FALSE,"Selenium is an Open-source automated UI testing framework used to validate web applications across different browsers and platforms. Multiple programming languages like Java, C#, Python etc can be used to create Selenium Test Scripts."
JMeter,Adopt,Tools,FALSE,"Apache JMeter is an Apache project that can be used as a load testing tool for analysing and measuring the performance of a variety of services, with a focus on web applications."
Fluentd,Adopt,Tools,TRUE,​Fluentd is an open-source data collector for a unified logging layer. Fluentd allows you to unify data collection and consumption for better use and understanding of data.
Kafka,Adopt,Tools,TRUE,"Apache Kafka is a distributed event streaming platform. Initially conceived as a messaging queue, Kafka is based on an abstraction of a distributed commit log. Since being created and open sourced by LinkedIn in 2011, Kafka has quickly evolved from messaging queue to a full-fledged event streaming platform that is widely adopted and often used in Event Streaming and Event Sourcing architectures."
React Hooks,Trial,Languages & Frameworks,TRUE,More modern approach to state management in React applications than standard Redux as it reduces boilerplate code.
Electron,Trial,Languages & Frameworks,TRUE,Open-source software framework for the development of desktop GUI applications using web technologies such as JavaScript HTML and CSS.
GitHub Actions,Trial,Platforms,TRUE,"GitHub Actions are CI/CD workflow features build directly into GitHub. As all repositories migrate to GitHub Enterprise, it could be a lightweight alternative to Azure DevOps, with good integration into all repositories."
AWS Fargate,Trial,Platforms,TRUE,"AWS Fargate is a serverless compute engine for containers that works with both Amazon Elastic Container Service (ECS) and Amazon Elastic Kubernetes Service (EKS). Fargate removes the need to provision and manage servers, lets you specify and pay for resources per application, and improves security through application isolation by design."
Managed Kubernetes orchestration services,Trial,Platforms,TRUE,"Managed service that you can use to run Kubernetes without needing to install, operate, and maintain your own Kubernetes control plane or nodes. Examples are AWS EKS and Azure AKS."
Elastic Elasticsearch (SIEM/APM),Trial,Platforms,TRUE,"Managed Elasticsearch service offered by the creators of Elasticsearch. It's benefits are: being kept up to date with latest versions of the Elastic components and only charging for compute rather than storage, which is unusual for SIEM solutions."
OpenTelemetry,Trial,Platforms,TRUE,"A CNCF- backed open source observability framework for cloud-native software. OpenTelemetry is a collection of tools, APIs, and SDKs. You can use it to instrument, generate, collect, and export telemetry data (metrics, logs, and traces) for analysis in order to understand your software's performance and behaviour. Currently in Beta, but with extensive language support and ecosystem."
Consumer-driven Contract Testing,Trial,Techniques,TRUE,"Contract testing is a methodology for ensuring that two separate systems (such as two microservices) are compatible and are able to communicate with one other. It captures the interactions that are exchanged between each service, storing them in a contract, which can then be used to verify that both parties adhere to it. Contract testing goes beyond schema testing, requiring both parties to come to a consensus on the allowed set of interactions and allowing for evolution over time."
Event Sourcing,Trial,Techniques,TRUE,"Event sourcing refers to a collection of patterns based on persisting the full history of a domain as a sequence of “events”, rather than persisting just the current state. Events are stored as immutable pieces of data that record what event happened, along with any data that is relevant to that event. Events are stored in streams, with a stream of events representing the entire history of a particular entity (or Aggregate in DDD terminology). These event streams are the source of truth for the state of the aggregate.
 See CQRS, Kafka for related items."
The three Rs of security,Trial,Techniques,TRUE,"The three Rs of enterprise security — rotate, repair and repave — take advantage of infrastructure automation and continuous delivery to eliminate opportunities for attack. Rotating credentials, applying patches as soon as they're available and rebuilding systems from a known, secure state — all within a matter of minutes or hours — makes it harder for attackers to succeed."
CQRS,Trial,Techniques,TRUE,"The Command and Query Responsibility Segregation (CQRS) pattern separates read and update operations for a data store. Implementing CQRS can maximize performance, scalability, and security. The flexibility created by migrating to CQRS allows a system to better evolve over time and prevents update commands from causing merge conflicts at the domain level."
Data Mesh,Trial,Techniques,TRUE,"Data mesh is an architectural and organizational paradigm shift in how we manage big analytical data. The paradigm is founded on four principles: (1) domain-oriented decentralization of data ownership and architecture; (2) domain-oriented data served as a product; (3) self-serve data infrastructure as a platform to enable autonomous, domain-oriented data teams; and (4) federated governance to enable ecosystems and interoperability. At GBG it goes beyond analytical data, to extend across the many different data sources we utilise. By setting out the principles through which data is acquired, managed and retrieved, it allows to build product services that effectively combine multiple data sources, internal and external, to provide data-driven services."
Run cost as architecture fitness function,Trial,Techniques,TRUE,"Automating the estimation, tracking and projection of cloud infrastructure's run cost is necessary for today's organizations. The cloud providers' savvy pricing models, combined with the proliferation of pricing parameters and the dynamic nature of today's architecture, can lead to surprisingly expensive run costs. For example, the price of serverless based on API calls, event streaming solutions based on traffic or data processing clusters based on running jobs, all have a dynamic nature that changes over time as the architecture evolves. When our teams manage infrastructure on the cloud, implementing run cost as architecture fitness function should be one of their early activities. This means that our teams can observe the cost of running services against the value delivered; when they see deviations from what was expected or acceptable."
Elastic Common Schema,Trial,Tools,TRUE,"ECS is an open source specification that defines a common set of document fields for log events most commonly ingested into Elasticsearch. Every component has their won naming conventions for data attributes, complicating ingestion rules and hindering cross component analysis without transformation. The adoption of a common schema mitigates these issues. There is a lack of competing schemas and with Elastic's expanding market penetration it is a good schema to implement today, knowing it will be most likely supported well across vendors tomorrow.
 The Identity Logging Working Group has used ECS as the basis for their work."
Sentry,Trial,Tools,TRUE,"Self-hosted and cloud-based error monitoring that helps software teams discover, triage, and prioritize errors in real-time that is especially popular for frontend error reporting."
Apache Airflow,Trial,Tools,TRUE,"Open-source workflow management tool for data-processing pipelines as directed acyclic graphs (DAGs) that can be programatically authored, scheduled and monitored."
Avro,Trial,Tools,TRUE,"Apache Avro is a data serialization system. Avro provides: Rich data structures. A compact, fast, binary data format. A container file, to store persistent data."
Rust,Assess,Languages & Frameworks,TRUE,"Rust is a multi-paradigm programming language designed for performance and safety, especially safe concurrency. It has been voted ""most loved"" language 5 years in a row by StackOverflow users. Recommended to assess as alternative to C++."
React Native,Assess,Languages & Frameworks,TRUE,Cross-platform open-source mobile application framework created by Facebook based on React.js that allows targeting both iOS and Android.
Databricks,Assess,Platforms,TRUE,"Databricks is an industry-leading, cloud-based data engineering tool used for processing and transforming massive quantities of data and exploring the data through machine learning models. It is cloud-agnostic and supports R, Python, Scala and SQL."
Istio,Assess,Platforms,TRUE,Istio is an open source service mesh—a modernized service networking layer that provides a transparent and language-independent way to flexibly and easily automate application network functions. It is a popular solution for managing the different microservices that make up a cloud-native application. Istio service mesh also supports how those microservices communicate and share data with one another.
Delta Lake,Assess,Platforms,TRUE,"Delta Lake is an open source storage layer that brings reliability to data lakes. Delta Lake provides ACID transactions, scalable metadata handling, and unifies streaming and batch data processing. Delta Lake runs on top of existing data lakes and is fully compatible with Apache Spark APIs."
Pulumi,Assess,Platforms,TRUE,"Pulumi's open source infrastructure as code SDK enables you to create, deploy, and manage infrastructure on any cloud, using your favourite languages. The ability to define infrastructure using fully fledged languages give it an advantage over Terraform in dynamic environments and make it easier to test with Pulumi. It's similar to AWS CDK but cloud-neutral."
Apache Superset,Assess,Platforms,TRUE,Open-source software cloud-native application for data exploration and data visualization able to handle data at petabyte scale.
Apache Griffin,Assess,Platforms,TRUE,"Apache Griffin is an open source Data Quality solution for Big Data, which supports both batch and streaming mode. It offers a set of well-defined data quality domain model, which covers most of data quality problems in general. It also define a data quality DSL to help users define their quality criteria."
Apache Flink,Assess,Platforms,TRUE,"Apache Flink is an open-source, unified stream-processing and batch-processing framework developed by the Apache Software Foundation."
Service mesh,Assess,Techniques,TRUE,"A service mesh is a configurable, low‑latency infrastructure layer designed to handle a high volume of network‑based interprocess communication among application infrastructure services using application programming interfaces (APIs). A service mesh ensures that communication among containerized and often ephemeral application infrastructure services is fast, reliable, and secure. The mesh provides critical capabilities including service discovery, load balancing, encryption, observability, traceability, authentication and authorization, and support for the circuit breaker pattern.
 
 The service mesh is usually implemented by providing a proxy instance, called a sidecar, for each service instance. Sidecars handle interservice communications, monitoring, and security‑related concerns – indeed, anything that can be abstracted away from the individual services. This way, developers can handle development, support, and maintenance for the application code in the services; operations teams can maintain the service mesh and run the app."
Homomorphic Encryption,Assess,Techniques,TRUE,"Fully homomorphic encryption (HE) refers to a class of encryption methods that allow computations (such as search and arithmetic) to be performed directly on encrypted data. The result of such a computation remains in encrypted form, which at a later point can be decrypted and revealed. Although the HE problem was first proposed in 1978, a solution wasn't constructed until 2009. With advances in computing power and the availability of easy-to-use open-source libraries — including SEAL, Lattigo, HElib and partially homomorphic encryption in Python — HE is becoming feasible in real-world applications. The motivating scenarios include privacy-preserving use cases, where computation can be outsourced to an untrusted party, for example, running computation on encrypted data in the cloud, or enabling a third party to aggregate homomorphically encrypted intermediate federated machine learning results."
Continuous delivery for machine learning (CD4ML),Assess,Techniques,TRUE,"Continuous Delivery for Machine Learning (CD4ML) is a software engineering approach in which a cross-functional team produces machine learning applications based on code, data, and models in small and safe increments that can be reproduced and reliably released at any time, in short adaptation cycles."
Ethical bias testing,Assess,Techniques,TRUE,"There is rising concern that machine learning and deep neural networks in particular could cause unintentional harm. For example, a model could be trained inadvertently to make profitable credit decisions by simply excluding disadvantaged applicants. Ethical bias testing can help uncover potentially harmful decisions in these models. 
 Tools such as lime, AI Fairness 360 or What-If Tool can help uncover inaccuracies that result from underrepresented groups in training data and visualization tools such as Google Facets or Facets Dive can be used to discover subgroups within a corpus of training data."
Micro frontends,Assess,Techniques,TRUE,Micro frontends are a new pattern where web application UIs (front ends) are composed from semi-independent fragments that can be built by different teams using different technologies. Micro-frontend architectures resemble back-end architectures where back ends are composed from semi-independent microservices.
Privacy-preserving record linkage (PPRL) using Bloom Filters,Assess,Techniques,TRUE,"Privacy-preserving record linkage (PPRL) using Bloom filter (a space-efficient probabilistic data structure) is an established technique that allows probabilistic linkage of records from different data providers without exposing privately identifiable personal data. For example, when linking data from two data providers, each provider encrypts its personally identifiable data using Bloom filter to get cryptographic linkage keys and then sends them to you via a secure channel. Once data is received, the records can be linked by computing similarity scores between sets of cryptographic linkage keys from each provider."
