name,ring,quadrant,isNew,description
Python,Adopt,Languages & Frameworks,FALSE,"cross platform open source programming language that is useful for scripting, data science applications and serverless. It is not a recommended language for middleware applications and API services."
Spark,Adopt,Languages & Frameworks,TRUE,"Apache Spark is a unified analytics engine for big data processing, with built-in modules for streaming, SQL, machine learning and graph processing"
C#,Adopt,Languages & Frameworks,FALSE,"C# is a general-purpose, multi-paradigm programming language encompassing static typing, strong typing, lexically scoped, imperative, declarative, functional, generic, object-oriented, and component-oriented programming disciplines."
Scala 3,Assess,Languages & Frameworks,TRUE,"JVM language that combines both Object-Oriented Programming and Functional Programming, especially used in big data projects."
OpenAPI v3 (Swagger),Adopt,Languages & Frameworks,FALSE,"The OpenAPI Specification (OAS) defines a standard, language-agnostic interface to RESTful APIs which allows both humans and computers to discover and understand the capabilities of the service without access to source code, documentation, or through network traffic inspection. When properly defined, a consumer can understand and interact with the remote service with a minimal amount of implementation logic. It is preferred over other specifications such as RAML due to superior support in tooling and platforms."
React,Adopt,Languages & Frameworks,FALSE,"React is a declarative, efficient, and flexible JavaScript library for building user interfaces. It lets you compose complex UIs from small and isolated pieces of code called “components”. It's one of the most popular JS frameworks around and used within GBG as well as Angular"
Webpack,Adopt,Languages & Frameworks,FALSE,Build tool for creating javascript and css distributions
gRPC,Adopt,Languages & Frameworks,TRUE," gRPC is a modern open source high performance Remote Procedure Call (RPC) framework that can run in any environment. It can efficiently connect services in and across data centers with pluggable support for load balancing, tracing, health checking and authentication. It is increasingly used for internal API, with supoprt in service meshes etc increasing. "
Kotlin,Adopt,Languages & Frameworks,TRUE,"a cross-platform, statically typed, general-purpose programming language. Preferred language for Android within GBG"
Swift,Adopt,Languages & Frameworks,TRUE,"Swift is a general-purpose, multi-paradigm, compiled programming language developed by Apple. It's only recommended for iOS development within GBG."
Specflow,Adopt,Languages & Frameworks,TRUE,"open source framework for Behavior Driven Development, Acceptance Test Driven Development and Specification by Example"
Angular,Adopt,Languages & Frameworks,FALSE,Angular is a platform and framework for building single-page client applications using HTML and TypeScript. 
PyTorch,Adopt,Languages & Frameworks,TRUE,"open source machine learning library based on the Torch library, used for applications such as computer vision and natural language processing"
Tensorflow,Adopt,Languages & Frameworks,TRUE,An end-to-end platform for ML. It enables to build and deploy ML powered applications.
.NET Core,Adopt,Languages & Frameworks,FALSE,cross-platform successor to .NET Framework
FlameGraph,Adopt,Languages & Frameworks,FALSE,"Visualization of profiled software, allowing the most frequent code-paths to be identified quickly and accurately."
GBG Design System,Adopt,Languages & Frameworks,TRUE,GBG's own design system and component library: http://ds.gbgplc.com/
Rust,Adopt,Languages & Frameworks,TRUE,"Rust is a multi-paradigm programming language designed for performance and safety, especially safe concurrency. It has been voted ""most loved"" language 5 years in a row by StackOverflow users. Recommended to assess as alternative to  C++."
React Native,Assess,Languages & Frameworks,TRUE,cross-platform open-source mobile application framework created by FaceBook based on React.js 
Bash/Powershell Scripting,Hold,Languages & Frameworks,FALSE,Bash has been the defacto shell in Linux for many years as has PowerShell on Windows. However both lack features that more fully fledged scripting languages do support and is not recommnded for anything but trivial scripting. Python is a better alternative.
Redux,Hold,Languages & Frameworks,TRUE,Open source system for state managment
Play,Hold,Languages & Frameworks,TRUE,Strict framework based on run time dependency injection as Spring
Vue.JS,Hold,Languages & Frameworks,FALSE,Currently both Angular and React are used across GBG and both have enough traction and healthy communities to maintain on these two choices rather than extending it with a third.
React Hooks,Adopt,Languages & Frameworks,TRUE,"More modern approach to state managment, less boilerplate code than Redux"
Electron,Trial,Languages & Frameworks,FALSE,open-source software framework for the development of desktop GUI applications using web technologies such as Javascript HTML and CSS
.NET Framework,Hold,Languages & Frameworks,FALSE,Microsoft has unified .NET Framework and .NET Core under .NET 5 and going forward will not create new version of .NET Framework
C++,Hold,Languages & Frameworks,FALSE,"A number of components used are built using C++. Typically in situation where performance is a concern C++ is a reasonable choice. However in recent years alternatives have started to surface and support within GBG has started to decrease. 
C++ is put in the Hold category to signify new developments should look towards alternatives if possibl. However C++ has incredible longevity and should be used where  it is appropriate."
